judet,tip,localitate,n_locuinte,n_pad,coverage_rate,predicted_coverage_rate,current_premium_eur,opportunity_eur,addressable_market_eur,tsi_actual,tsi_predicted,pred_lower,pred_upper,accumulation_index
Cluj,1. MUNICIPIU,CLUJ-NAPOCA,161354,50901,0.3155,0.3628,1018020.0000,152695.7179,3227080.0000,1018020000.0000,1170715717.8771,0.3122,0.4195,227553602.4871
Bihor,1. MUNICIPIU,ORADEA,105958,28845,0.2722,0.3372,576900.0000,137768.7691,2119160.0000,576900000.0000,714668769.1466,0.2725,0.3808,336559235.1153
Timis,1. MUNICIPIU,TIMISOARA,153565,63849,0.4158,0.4495,1276980.0000,103674.7718,3071300.0000,1276980000.0000,1380654771.7946,0.4146,0.5426,400866342.2350
Iasi,1. MUNICIPIU,IASI,153534,46741,0.3044,0.3352,934820.0000,94614.7846,3070680.0000,934820000.0000,1029434784.5936,0.2992,0.3905,152879326.3172
Mures,1. MUNICIPIU,TARGU MURES,67102,21033,0.3134,0.3775,420660.0000,85952.9463,1342040.0000,420660000.0000,506612946.3210,0.3190,0.4223,136717003.6000
Sibiu,1. MUNICIPIU,SIBIU,79793,26225,0.3287,0.3786,524500.0000,79736.8247,1595860.0000,524500000.0000,604236824.6942,0.3267,0.4094,0.0000
Braila,1. MUNICIPIU,BRAILA,81274,19757,0.2431,0.2909,395140.0000,77685.6332,1625480.0000,395140000.0000,472825633.1624,0.2417,0.3337,1338083.8611
Brasov,1. MUNICIPIU,BRASOV,149139,60336,0.4046,0.4231,1206720.0000,55240.0280,2982780.0000,1206720000.0000,1261960028.0395,0.3838,0.4839,99249404.9921
Bacau,1. MUNICIPIU,BACAU,73348,21865,0.2981,0.3326,437300.0000,50612.0305,1466960.0000,437300000.0000,487912030.4796,0.2764,0.3421,205317967.6819
Timis,1. MUNICIPIU,LUGOJ,19314,4589,0.2376,0.3658,91780.0000,49510.2691,386280.0000,91780000.0000,141290269.0718,0.2389,0.4183,41022936.7350
Satu Mare,1. MUNICIPIU,SATU MARE,49839,14543,0.2918,0.3379,290860.0000,45922.8313,996780.0000,290860000.0000,336782831.3492,0.2849,0.3895,0.0000
Vaslui,1. MUNICIPIU,BARLAD,26196,5186,0.1980,0.2584,103720.0000,31677.3190,523920.0000,103720000.0000,135397318.9643,0.1992,0.2664,4550510.9991
Bacau,1. MUNICIPIU,ONESTI,21841,5145,0.2356,0.3020,102900.0000,29012.5034,436820.0000,102900000.0000,131912503.4216,0.2375,0.3128,55510021.1154
Iasi,1. MUNICIPIU,PASCANI,15282,2498,0.1635,0.2531,49960.0000,27386.9914,305640.0000,49960000.0000,77346991.4137,0.1697,0.2562,11486648.9038
Ilfov,2. ORAS,CHITILA,6742,1672,0.2480,0.4358,33440.0000,25329.4685,134840.0000,33440000.0000,58769468.4892,0.2698,0.5021,1019648.9607
Botosani,1. MUNICIPIU,BOTOSANI,43456,9853,0.2267,0.2548,197060.0000,24418.1092,869120.0000,197060000.0000,221478109.1588,0.1973,0.2537,49281169.9755
Neamt,1. MUNICIPIU,ROMAN,26774,6362,0.2376,0.2772,127240.0000,21198.2293,535480.0000,127240000.0000,148438229.2842,0.2424,0.3083,49435874.2102
